,Station,Date,num_entries,"('num_entries', 'amax')","('num_entries', 'amin')",normalized_entries
177,103 ST,03/01/2020,12209,28698,1505,0.3936307137866363
178,103 ST,03/02/2020,26523,28698,1505,0.9200161806347221
179,103 ST,03/03/2020,27803,28698,1505,0.9670871180083109
180,103 ST,03/04/2020,27867,28698,1505,0.9694406648769904
181,103 ST,03/05/2020,27609,28698,1505,0.9599529290626264
182,103 ST,03/06/2020,26691,28698,1505,0.9261942411650057
183,103 ST,03/07/2020,14838,28698,1505,0.49031000625160887
184,103 ST,03/08/2020,11647,28698,1505,0.37296363034604496
185,103 ST,03/09/2020,25466,28698,1505,0.8811458831316883
186,103 ST,03/10/2020,25369,28698,1505,0.877578788658846
187,103 ST,03/11/2020,24825,28698,1505,0.8575736402750708
188,103 ST,03/12/2020,22867,28698,1505,0.7855698157614092
189,103 ST,03/13/2020,19083,28698,1505,0.6464163571507373
190,103 ST,03/14/2020,9189,28698,1505,0.2825727209208252
191,103 ST,03/15/2020,6458,28698,1505,0.18214246313389476
192,103 ST,03/16/2020,11976,28698,1505,0.3850623322178502
193,103 ST,03/17/2020,10217,28698,1505,0.3203765674989887
194,103 ST,03/18/2020,9759,28698,1505,0.30353399772000145
195,103 ST,03/19/2020,8464,28698,1505,0.25591144779906594
196,103 ST,03/20/2020,7773,28698,1505,0.2305004964512926
197,103 ST,03/21/2020,3994,28698,1505,0.09153090868973633
198,103 ST,03/22/2020,2812,28698,1505,0.04806383995881293
199,103 ST,03/23/2020,4901,28698,1505,0.12488508071930277
200,103 ST,03/24/2020,4977,28698,1505,0.1276799176258596
201,103 ST,03/25/2020,4698,28698,1505,0.11741992424521017
202,103 ST,03/26/2020,4624,28698,1505,0.11469863567829956
203,103 ST,03/27/2020,4834,28698,1505,0.12242121134115397
204,103 ST,03/28/2020,2688,28698,1505,0.04350384290074651
205,103 ST,03/29/2020,1981,28698,1505,0.017504504835803333
206,103 ST,03/30/2020,3911,28698,1505,0.08847865259441769
207,103 ST,03/31/2020,3676,28698,1505,0.07983672268598536
208,103 ST,04/01/2020,3694,28698,1505,0.08049865774280146
209,103 ST,04/02/2020,3494,28698,1505,0.07314382377817821
210,103 ST,04/03/2020,3523,28698,1505,0.07421027470304858
211,103 ST,04/04/2020,2052,28698,1505,0.020115470893244586
212,103 ST,04/05/2020,1732,28698,1505,0.008347736549847388
213,103 ST,04/06/2020,3275,28698,1505,0.06509028058691575
214,103 ST,04/07/2020,3094,28698,1505,0.05843415584893171
215,103 ST,04/08/2020,3136,28698,1505,0.05997867098150259
216,103 ST,04/09/2020,3028,28698,1505,0.05600706064060604
217,103 ST,04/10/2020,2988,28698,1505,0.05453609384768139
218,103 ST,04/11/2020,1869,28698,1505,0.013385797815614312
219,103 ST,04/12/2020,1505,28698,1505,0.0
220,103 ST,04/13/2020,2760,28698,1505,0.04615158312801088
221,103 ST,04/14/2020,3143,28698,1505,0.060236090170264406
222,103 ST,04/15/2020,3107,28698,1505,0.05891222005663222
223,103 ST,04/16/2020,3132,28698,1505,0.05983157430221013
224,103 ST,04/17/2020,3194,28698,1505,0.062111572831243335
225,103 ST,04/18/2020,1871,28698,1505,0.013459346155260545
226,103 ST,04/19/2020,1632,28698,1505,0.004670319567535763
227,103 ST,04/20/2020,3233,28698,1505,0.06354576545434487
228,103 ST,04/21/2020,3087,28698,1505,0.0581767366601699
229,103 ST,04/22/2020,3261,28698,1505,0.06457544220939213
230,103 ST,04/23/2020,3212,28698,1505,0.06277350788805942
231,103 ST,04/24/2020,3225,28698,1505,0.06325157209575993
232,103 ST,12/28/2019,14479,28698,1505,0.4771080792851101
233,103 ST,12/29/2019,12581,28698,1505,0.4073107049608355
234,103 ST,12/30/2019,21214,28698,1505,0.724782113043798
235,103 ST,12/31/2019,20817,28698,1505,0.7101827676240209
236,103 ST-CORONA,01/01/2020,7879,21026,1202,0.3368139628732849
237,103 ST-CORONA,01/02/2020,18848,21026,1202,0.8901331719128329
238,103 ST-CORONA,01/03/2020,19346,21026,1202,0.9152542372881356
239,103 ST-CORONA,01/04/2020,13406,21026,1202,0.6156174334140436
240,103 ST-CORONA,01/05/2020,10266,21026,1202,0.4572235673930589
241,103 ST-CORONA,01/06/2020,19654,21026,1202,0.9307909604519774
242,103 ST-CORONA,01/07/2020,19678,21026,1202,0.932001614205004
243,103 ST-CORONA,01/08/2020,20009,21026,1202,0.9486985472154964
244,103 ST-CORONA,01/09/2020,19739,21026,1202,0.9350786924939467
245,103 ST-CORONA,01/10/2020,20423,21026,1202,0.9695823244552058
246,103 ST-CORONA,01/11/2020,14079,21026,1202,0.6495661824051655
247,103 ST-CORONA,01/12/2020,10514,21026,1202,0.46973365617433416
248,103 ST-CORONA,01/13/2020,19537,21026,1202,0.9248890234059726
249,103 ST-CORONA,01/14/2020,19752,21026,1202,0.9357344632768362
250,103 ST-CORONA,01/15/2020,20383,21026,1202,0.9675645682001615
251,103 ST-CORONA,01/16/2020,20272,21026,1202,0.9619652945924132
