,Station,Date,num_entries
406,110 ST,02/12/2020,10736
407,110 ST,02/13/2020,10839
408,110 ST,02/14/2020,10896
409,110 ST,02/15/2020,5521
410,110 ST,02/16/2020,4390
411,110 ST,02/17/2020,5991
412,110 ST,02/18/2020,8890
413,110 ST,02/19/2020,9221
414,110 ST,02/20/2020,9428
415,110 ST,02/21/2020,9304
416,110 ST,02/22/2020,5952
417,110 ST,02/23/2020,4314
418,110 ST,02/24/2020,10165
419,110 ST,02/25/2020,10530
420,110 ST,02/26/2020,10863
421,110 ST,02/27/2020,10756
422,110 ST,02/28/2020,10968
423,110 ST,02/29/2020,6095
424,110 ST,03/01/2020,4345
425,110 ST,03/02/2020,10115
426,110 ST,03/03/2020,10665
427,110 ST,03/04/2020,10649
428,110 ST,03/05/2020,10602
429,110 ST,03/06/2020,10414
430,110 ST,03/07/2020,5827
431,110 ST,03/08/2020,3643
432,110 ST,03/09/2020,9274
433,110 ST,03/10/2020,9516
434,110 ST,03/11/2020,9454
435,110 ST,03/12/2020,8747
436,110 ST,03/13/2020,7781
437,110 ST,03/14/2020,3959
438,110 ST,03/15/2020,2838
439,110 ST,03/16/2020,4839
440,110 ST,03/17/2020,4386
441,110 ST,03/18/2020,4142
442,110 ST,03/19/2020,3745
443,110 ST,03/20/2020,3348
444,110 ST,03/21/2020,1792
445,110 ST,03/22/2020,1203
446,110 ST,03/23/2020,1923
447,110 ST,03/24/2020,2046
448,110 ST,03/25/2020,1232
449,110 ST,03/26/2020,1843
450,110 ST,03/27/2020,1979
451,110 ST,12/28/2019,6001
452,110 ST,12/29/2019,5016
453,110 ST,12/30/2019,7904
454,110 ST,12/31/2019,7989
455,111 ST,01/01/2020,5828
456,111 ST,01/02/2020,14830
457,111 ST,01/03/2020,15189
458,111 ST,01/04/2020,9377
459,111 ST,01/05/2020,7178
460,111 ST,01/06/2020,15571
461,111 ST,01/07/2020,15704
462,111 ST,01/08/2020,15807
463,111 ST,01/09/2020,15602
