,Station,Date,num_entries,"('num_entries', 'amax')","('num_entries', 'amin')",normalized_entries
81,1 AV,03/22/2020,13,19046,8,0.0002626326294778863
82,1 AV,03/23/2020,1851,19046,8,0.0968063872255489
83,1 AV,03/24/2020,2058,19046,8,0.10767937808593339
84,1 AV,03/25/2020,1956,19046,8,0.10232167244458451
85,1 AV,03/26/2020,1896,19046,8,0.09917008089084987
86,1 AV,03/27/2020,1736,19046,8,0.09076583674755752
87,1 AV,12/28/2019,5452,19046,8,0.28595440697552266
88,1 AV,12/29/2019,4409,19046,8,0.23116924046643555
89,1 AV,12/30/2019,12363,19046,8,0.6489652274398571
90,1 AV,12/31/2019,12834,19046,8,0.673705221136674
91,103 ST,01/01/2020,12002,28698,2812,0.3550181565324886
92,103 ST,01/02/2020,24401,28698,2812,0.8340029359499344
93,103 ST,01/03/2020,24977,28698,2812,0.8562543459785212
94,103 ST,01/04/2020,16087,28698,2812,0.5128254655025882
95,103 ST,01/05/2020,12353,28698,2812,0.36857760951865876
96,103 ST,01/06/2020,26892,28698,2812,0.9302325581395349
97,103 ST,01/07/2020,27976,28698,2812,0.9721084756238894
98,103 ST,01/08/2020,27963,28698,2812,0.9716062736614386
99,103 ST,01/09/2020,28248,28698,2812,0.9826160859151665
100,103 ST,01/10/2020,27357,28698,2812,0.9481959360271962
101,103 ST,01/11/2020,15609,28698,2812,0.49435988565247624
102,103 ST,01/12/2020,12624,28698,2812,0.37904658888974735
103,103 ST,01/13/2020,25494,28698,2812,0.8762265317159855
104,103 ST,01/14/2020,27684,28698,2812,0.9608282469288418
105,103 ST,01/15/2020,28103,28698,2812,0.9770146024878312
106,103 ST,01/16/2020,28106,28698,2812,0.9771304952483968
107,103 ST,01/17/2020,27273,28698,2812,0.9449509387313606
108,103 ST,01/18/2020,13972,28698,2812,0.43112106930387084
109,103 ST,01/19/2020,12670,28698,2812,0.38082361121841923
110,103 ST,01/20/2020,16177,28698,2812,0.516302248319555
111,103 ST,01/21/2020,26936,28698,2812,0.9319323186278298
112,103 ST,01/22/2020,27385,28698,2812,0.9492776017924747
113,103 ST,01/23/2020,27526,28698,2812,0.9547245615390558
114,103 ST,01/24/2020,27240,28698,2812,0.9436761183651394
115,103 ST,01/25/2020,14248,28698,2812,0.44178320327590204
116,103 ST,01/26/2020,12145,28698,2812,0.3605423781194468
117,103 ST,01/27/2020,26006,28698,2812,0.8960055628525071
118,103 ST,01/28/2020,28136,28698,2812,0.9782894228540524
119,103 ST,01/29/2020,28374,28698,2812,0.9874835818589199
120,103 ST,01/30/2020,28481,28698,2812,0.9916170903190914
121,103 ST,01/31/2020,27403,28698,2812,0.949972958355868
122,103 ST,02/01/2020,15167,28698,2812,0.4772850189291509
123,103 ST,02/02/2020,13316,28698,2812,0.40577918566020243
124,103 ST,02/03/2020,26704,28698,2812,0.9229699451440934
125,103 ST,02/04/2020,27653,28698,2812,0.9596306884029978
126,103 ST,02/05/2020,28597,28698,2812,0.9960982770609595
127,103 ST,02/06/2020,28380,28698,2812,0.987715367380051
128,103 ST,02/07/2020,28059,28698,2812,0.9753148419995364
129,103 ST,02/08/2020,15806,28698,2812,0.5019701769296144
130,103 ST,02/09/2020,12214,28698,2812,0.3632079116124546
131,103 ST,02/10/2020,26927,28698,2812,0.9315846403461331
132,103 ST,02/11/2020,28005,28698,2812,0.9732287723093564
133,103 ST,02/12/2020,28698,28698,2812,1.0
134,103 ST,02/13/2020,28521,28698,2812,0.9931623271266321
135,103 ST,02/14/2020,27960,28698,2812,0.971490380900873
136,103 ST,02/15/2020,14347,28698,2812,0.4456076643745654
137,103 ST,02/16/2020,11957,28698,2812,0.3532797651240053
138,103 ST,02/17/2020,15671,28698,2812,0.4967550027041644
139,103 ST,02/18/2020,24193,28698,2812,0.8259677045507224
140,103 ST,02/19/2020,25355,28698,2812,0.8708568338097813
141,103 ST,02/20/2020,25149,28698,2812,0.8628988642509464
142,103 ST,02/21/2020,24611,28698,2812,0.8421154291895233
143,103 ST,02/22/2020,15023,28698,2812,0.47172216642200415
144,103 ST,02/23/2020,12458,28698,2812,0.37263385613845323
145,103 ST,02/24/2020,26398,28698,2812,0.9111488835664066
146,103 ST,02/25/2020,28059,28698,2812,0.9753148419995364
147,103 ST,02/26/2020,28362,28698,2812,0.9870200108166577
148,103 ST,02/27/2020,28586,28698,2812,0.9956733369388859
149,103 ST,02/28/2020,27640,28698,2812,0.959128486440547
150,103 ST,02/29/2020,15650,28698,2812,0.4959437533802055
151,103 ST,03/01/2020,12209,28698,2812,0.36301475701151203
152,103 ST,03/02/2020,26523,28698,2812,0.9159777485899714
153,103 ST,03/03/2020,27803,28698,2812,0.9654253264312755
154,103 ST,03/04/2020,27867,28698,2812,0.9678977053233409
155,103 ST,03/05/2020,27609,28698,2812,0.9579309279147029
156,103 ST,03/06/2020,26691,28698,2812,0.9224677431816426
157,103 ST,03/07/2020,14838,28698,2812,0.4645754461871282
158,103 ST,03/08/2020,11647,28698,2812,0.3413041798655644
159,103 ST,03/09/2020,25466,28698,2812,0.875144865950707
160,103 ST,03/10/2020,25369,28698,2812,0.8713976666924206
161,103 ST,03/11/2020,24825,28698,2812,0.8503824461098664
162,103 ST,03/12/2020,22867,28698,2812,0.7747431043807463
163,103 ST,03/13/2020,19083,28698,2812,0.6285637023873909
164,103 ST,03/14/2020,9189,28698,2812,0.24634937804218496
165,103 ST,03/15/2020,6458,28698,2812,0.14084833500733987
